Base;Data;;;;
COMMERCIAL;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DT_SA;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DT_SA;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DT_SA;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DT_SA;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
EXECUTIVE;13/04/2021;;;;
DT_SA;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
EXECUTIVE;13/04/2021;;;;
DT_SA;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DT_SA;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
COMMERCIAL;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;13/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DT_SA;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DT_SA;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
COMMERCIAL;14/04/2021;;;;
COMMERCIAL;14/04/2021;;;;
COMMERCIAL;14/04/2021;;;;
COMMERCIAL;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
COMMERCIAL;14/04/2021;;;;
EXECUTIVE;14/04/2021;;;;
EXECUTIVE;14/04/2021;;;;
DT_SA;14/04/2021;;;;
DT_SA;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DT_SA;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DT_SA;14/04/2021;;;;
DT_SA;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DEFENSE;14/04/2021;;;;
DT_SA;14/04/2021;;;;
